model,tp,pp,max_num_tokens
facebook/opt-13b,1,1,6168896
facebook/opt-13b,1,2,6168896
facebook/opt-13b,1,4,6168896
facebook/opt-13b,1,5,6168896
facebook/opt-13b,1,8,6168896
facebook/opt-13b,2,1,6168896
facebook/opt-13b,2,2,6168896
facebook/opt-13b,2,4,6168896
facebook/opt-13b,2,5,6168896
facebook/opt-13b,2,8,6168896
facebook/opt-13b,4,1,6168896
facebook/opt-13b,4,2,6168896
facebook/opt-13b,4,4,6168896
facebook/opt-13b,4,5,6168896
facebook/opt-13b,4,8,6168896
facebook/opt-13b,5,1,6168896
facebook/opt-13b,5,2,6168896
facebook/opt-13b,5,4,6168896
facebook/opt-13b,5,5,6168896
facebook/opt-13b,5,8,6168896
facebook/opt-13b,8,1,6168896
facebook/opt-13b,8,2,6168896
facebook/opt-13b,8,4,6168896
facebook/opt-13b,8,5,6168896
facebook/opt-13b,8,8,6168896
facebook/opt-66b,1,1,2085696
facebook/opt-66b,1,2,2085696
facebook/opt-66b,1,4,2085696
facebook/opt-66b,1,8,2085696
facebook/opt-66b,2,1,2085696
facebook/opt-66b,2,2,2085696
facebook/opt-66b,2,4,2085696
facebook/opt-66b,2,8,2085696
facebook/opt-66b,3,1,2085696
facebook/opt-66b,3,2,2085696
facebook/opt-66b,3,4,2085696
facebook/opt-66b,3,8,2085696
facebook/opt-66b,4,1,2085696
facebook/opt-66b,4,2,2085696
facebook/opt-66b,4,4,2085696
facebook/opt-66b,4,8,2085696
facebook/opt-66b,6,1,2085696
facebook/opt-66b,6,2,2085696
facebook/opt-66b,6,4,2085696
facebook/opt-66b,6,8,2085696
facebook/opt-66b,8,1,2085696
facebook/opt-66b,8,2,2085696
facebook/opt-66b,8,4,2085696
facebook/opt-66b,8,8,2085696
facebook/opt-175b,1,1,992400
facebook/opt-175b,1,2,992400
facebook/opt-175b,1,6,992400
facebook/opt-175b,1,8,992400
facebook/opt-175b,2,3,992400
facebook/opt-175b,2,4,992400
facebook/opt-175b,2,6,992400
facebook/opt-175b,2,8,992400
facebook/opt-175b,3,2,992400
facebook/opt-175b,3,3,992400
facebook/opt-175b,3,4,992400
facebook/opt-175b,3,6,992400
facebook/opt-175b,3,8,992400
facebook/opt-175b,4,2,992400
facebook/opt-175b,4,3,992400
facebook/opt-175b,4,4,992400
facebook/opt-175b,4,6,992400
facebook/opt-175b,4,8,992400
facebook/opt-175b,6,1,992400
facebook/opt-175b,6,2,992400
facebook/opt-175b,6,3,992400
facebook/opt-175b,6,4,992400
facebook/opt-175b,6,6,992400
facebook/opt-175b,6,8,992400
facebook/opt-175b,8,1,992400
facebook/opt-175b,8,2,992400
facebook/opt-175b,8,3,992400
facebook/opt-175b,8,4,992400
facebook/opt-175b,8,6,992400
facebook/opt-175b,8,8,992400
